2026-06-15 19:12:51,10000001,INITIAL DEPOSIT,1000.00,
2026-06-15 19:13:30,10000002,INITIAL DEPOSIT,500.00,
2026-06-15 19:14:33,10000002,DEPOSIT,20000.00,
2026-06-15 19:15:31,10000002,WITHDRAWAL,15000.00,
2026-06-15 19:17:01,10000002,WITHDRAWAL,10000.00,
2026-06-15 19:18:29,10000001,DEPOSIT,24000.00,
2026-06-15 19:18:53,10000001,TRANSFER OUT,10000.00,to 10000002
2026-06-15 19:18:53,10000002,TRANSFER IN,10000.00,from 10000001
2026-06-15 19:19:48,10000001,INTEREST,900.00,
2026-06-15 19:20:15,10000001,INTEREST,954.00,
2026-06-15 19:20:54,10000003,INITIAL DEPOSIT,30000.00,
2026-06-15 19:21:27,10000004,INITIAL DEPOSIT,15000.00,
